id,user_desktop,placa_mae,cpu_count,clock_1,clock_2,cpu_media_temperatura,cpu_media_percent,cpu_media_clock,memory_load,memory_use,memory_available,video_card
57,HSL017,"HP 218B",2,2394.6,2394.6,71.5,100.0,2394.6,86.6,5.8,0.9,NULL
58,HSL017,"HP 218B",2,2394.6,2394.6,71.0,100.0,2394.6,86.6,5.8,0.9,NULL
59,HSL017,"HP 218B",2,2394.6,2394.6,71.0,100.0,2394.6,87.1,5.8,0.9,NULL
60,HSL017,"HP 218B",2,2394.6,2394.6,71.0,100.0,2394.6,87.1,5.8,0.9,NULL
61,HSL017,"HP 218B",2,2394.6,2394.6,71.5,99.8,2394.6,87.4,5.8,0.8,NULL
62,HSL017,"HP 218B",2,2394.6,2394.6,72.5,98.6,2394.6,87.1,5.8,0.9,NULL
63,HSL017,"HP 218B",2,2394.6,2394.6,72.5,96.7,2394.6,87.3,5.8,0.8,NULL
64,HSL017,"HP 218B",2,2394.6,2394.6,72.0,96.5,2394.6,87.5,5.8,0.8,NULL
65,HSL017,"HP 218B",2,2394.6,2394.6,72.0,82.45,2394.6,87.5,5.8,0.8,NULL
66,HSL017,"HP 218B",2,2394.6,2394.6,71.5,79.1,2394.6,87.3,5.8,0.8,NULL
67,HSL017,"HP 218B",2,2394.6,2394.6,70.5,80.5,2394.6,87.1,5.8,0.9,NULL
68,HSL017,"HP 218B",2,2394.6,2394.6,72.0,80.65,2394.6,87.2,5.8,0.9,NULL
69,HSL017,"HP 218B",2,2394.6,1197.3,66.0,46.1,1795.95,65.9,4.4,2.3,NULL
70,HSL017,"HP 218B",2,2394.6,2394.6,67.5,52.15,2394.6,66.4,4.4,2.2,NULL
71,HSL017,"HP 218B",2,2394.6,2394.6,67.0,62.5,2394.6,78.1,5.2,1.5,NULL
72,HSL017,"HP 218B",2,2394.6,2394.6,67.5,60.9,2394.6,78.1,5.2,1.5,NULL
73,HSL017,"HP 218B",2,2394.6,2394.6,69.5,40.6,2394.6,78.0,5.2,1.5,NULL
74,HSL017,"HP 218B",2,2394.6,2394.6,66.0,44.35,2394.6,78.0,5.2,1.5,NULL
75,HSL017,"HP 218B",2,2394.6,2394.6,71.5,72.45,2394.6,89.1,5.9,0.7,NULL
76,HSL017,"HP 218B",2,2394.6,2394.6,71.5,59.8,2394.6,88.5,5.9,0.8,NULL
77,HSL017,"HP 218B",2,2394.6,2394.6,70.0,46.7,2394.6,88.4,5.9,0.8,NULL
78,HSL017,"HP 218B",2,2394.6,2394.6,70.0,53.1,2394.6,88.2,5.9,0.8,NULL
79,HSL017,"HP 218B",2,1197.3,2394.6,68.5,53.5,1795.95,88.4,5.9,0.8,NULL
80,HSL017,"HP 218B",2,2394.6,2394.6,71.5,69.35,2394.6,88.0,5.9,0.8,NULL
81,HSL017,"HP 218B",2,2394.6,2394.6,72.0,72.85,2394.6,87.9,5.9,0.8,NULL
82,HSL017,"HP 218B",2,2394.6,2394.6,71.0,51.2,2394.6,87.9,5.9,0.8,NULL
83,HSL017,"HP 218B",2,2394.6,2394.6,72.5,46.1,2394.6,87.9,5.9,0.8,NULL
84,HSL017,"HP 218B",2,2394.6,2394.6,69.5,52.7,2394.6,87.8,5.8,0.8,NULL
85,HSL017,"HP 218B",2,2394.6,2394.6,71.0,64.85,2394.6,88.6,5.9,0.8,NULL
86,HSL017,"HP 218B",2,2394.6,2394.6,69.0,50.2,2394.6,88.5,5.9,0.8,NULL
87,HSL017,"HP 218B",2,2394.6,2394.6,70.5,52.55,2394.6,88.5,5.9,0.8,NULL
88,HSL017,"HP 218B",2,2394.6,2394.6,69.5,44.15,2394.6,87.8,5.9,0.8,NULL
89,HSL017,"HP 218B",2,2394.6,2394.6,70.5,63.3,2394.6,88.1,5.9,0.8,NULL
90,HSL017,"HP 218B",2,2394.6,2394.6,71.0,56.45,2394.6,88.7,5.9,0.8,NULL
91,HSL017,"HP 218B",2,2394.6,2394.6,69.5,43.6,2394.6,87.9,5.9,0.8,NULL
92,HSL017,"HP 218B",2,1197.3,2394.6,70.5,53.1,1795.95,88.4,5.9,0.8,NULL
93,HSL017,"HP 218B",2,2394.6,2394.6,71.0,45.15,2394.6,88.5,5.9,0.8,NULL
94,HSL017,"HP 218B",2,2394.6,2394.6,72.0,72.85,2394.6,87.9,5.9,0.8,NULL
95,HSL017,"HP 218B",2,2394.6,2394.6,71.0,68.8,2394.6,88.2,5.9,0.8,NULL
96,HSL017,"HP 218B",2,2394.6,2394.6,69.5,49.05,2394.6,88.0,5.9,0.8,NULL
97,HSL017,"HP 218B",2,2394.6,2394.6,72.5,60.0,2394.6,88.7,5.9,0.8,NULL
98,HSL017,"HP 218B",2,2394.6,2394.6,70.5,37.3,2394.6,88.9,5.9,0.7,NULL
99,HSL017,"HP 218B",2,2394.6,2394.6,70.5,32.05,2394.6,88.2,5.9,0.8,NULL
100,HSL017,"HP 218B",2,2394.6,2394.6,70.0,54.7,2394.6,88.1,5.9,0.8,NULL
101,HSL017,"HP 218B",2,2394.6,2394.6,70.5,46.7,2394.6,88.0,5.9,0.8,NULL
102,HSL017,"HP 218B",2,2394.6,2394.6,71.5,72.25,2394.6,87.1,5.8,0.9,NULL
103,HSL017,"HP 218B",2,2394.6,2394.6,70.5,36.5,2394.6,87.1,5.8,0.9,NULL
104,HSL017,"HP 218B",2,2394.6,2394.6,70.5,59.0,2394.6,87.0,5.8,0.9,NULL
105,HSL017,"HP 218B",2,2394.6,2394.6,69.0,49.2,2394.6,87.6,5.8,0.8,NULL
106,HSL017,"HP 218B",2,1197.3,1197.3,69.5,33.4,1197.3,87.0,5.8,0.9,NULL
107,HSL017,"HP 218B",2,2394.6,2394.6,68.0,54.1,2394.6,87.2,5.8,0.9,NULL
108,HSL017,"HP 218B",2,2394.6,2394.6,72.5,94.9,2394.6,87.8,5.8,0.8,NULL
109,HSL017,"HP 218B",2,2394.6,2394.6,71.0,86.3,2394.6,88.1,5.9,0.8,NULL
